,function,coverage,generations,pop_size,missed_lines,test_cases
0,testable_int,0.8461538461538461,749,64,"[27, 28]","['testable_int(19048, -94292)', 'testable_int(-19048, -94298)']"
1,testable_float,0.6363636363636364,754,64,"[45, 46, 47, 49]","['testable_float(13907.784164374418, 83599.32011598515)', 'testable_float(-89170.79896536384, 96237.49231510391)']"
2,testable_str,1.0,1,64,[],"[""testable_str('U/', '+X\\x0c<Tbt\\x0b4TT`')"", ""testable_str('?^1<_q_?sqH', '')"", 'testable_str(\',+3@:k)Em7ddLR@xr2\', ""sJk\'eUy9t~7Dncx6Q"")']"
3,longest_consecutive_subsequence,0.8461538461538461,748,64,"[69, 82]","['longest_consecutive_subsequence([-85407, -76272])']"
4,third_largest,1.0,0,64,[],"['third_largest([-88286, -44912, 48403, -61143, 18158, 25439, -25552])', 'third_largest([90797, -94489])']"
5,contains_words,1.0,1,64,[],"['contains_words(\'yn1C\\t\', [\'dDh""~9K1""g#\\r\\x0cLTZ~Sg(f\', "".Lh<U-5IQx\'"", \'o@WhjxQrAMjhE50\\\\kpXWLAy!FP-L\'])', ""contains_words('u.+.OS=.yYDb', [''])""]"
6,find_numbers_divisible_by,1.0,0,64,[],"['find_numbers_divisible_by(47281, 81298, -37212)']"
7,check_contains,1.0,3,64,[],"[""check_contains('qCK/I\\ry1e9iu&WtTk}V*~B@.lUEvX', 'XLo6<')"", ""check_contains('Qte#m`Y*PJr/F4^_g+3Gj>k', 'k')""]"
8,factorial,1.0,0,64,[],['factorial(71)']
9,fibonacci,0.8461538461538461,115,64,"[139, 141]","['fibonacci(14799)', 'fibonacci(-69320)']"
10,sum_digits,1.0,0,64,[],['sum_digits(60545)']
